"","exposureId","exposureName","outcomeId","outcomeName","groundTruth","indicationId","indicationName","comparatorId","comparatorName","comparatorType"
"1",1309204,"Adenosine",500000301,"OMOP Acute Liver Failure 1",0,21001538,"Paroxysmal Supraventricular Tachycardia",1135766,"Phenylephrine","Target Primary Indication->Comparator Any Indication"
"2",1103552,"almotriptan",500000301,"OMOP Acute Liver Failure 1",0,21001116,"Migraine",1125315,"Acetaminophen","Target Primary Indication->Comparator Any Indication"
"3",919204,"Amylases",500000301,"OMOP Acute Liver Failure 1",0,21002227,"Pancreatic Insufficiency",1707164,"Metronidazole","Target Any Indication->Comparator Any Indication"
"4",917006,"Benzocaine",500000301,"OMOP Acute Liver Failure 1",0,21001752,"Sore Throat",1192710,"Chlorpheniramine","Target Primary Indication->Comparator Primary Indication"
"5",1136601,"benzonatate",500000301,"OMOP Acute Liver Failure 1",0,21003205,"Cough",1163944,"Guaifenesin","Target Primary Indication->Comparator Primary Indication"
"6",19008009,"Cosyntropin",500000301,"OMOP Acute Liver Failure 1",0,21000636,"Acute Adrenocortical Insufficiency",1541079,"Corticotropin","Target Any Indication->Comparator Any Indication"
"7",924724,"Dicyclomine",500000301,"OMOP Acute Liver Failure 1",0,21002116,"Irritable Bowel Syndrome",1101703,"homatropine","Target Primary Indication->Comparator Any Indication"
"8",739323,"Droperidol",500000301,"OMOP Acute Liver Failure 1",0,21003079,"Pain",1125315,"Acetaminophen","Target Primary Indication->Comparator Primary Indication"
"9",931973,"Endopeptidases",500000301,"OMOP Acute Liver Failure 1",0,21002227,"Pancreatic Insufficiency",1707164,"Metronidazole","Target Any Indication->Comparator Any Indication"
"10",1145379,"Ergotamine",500000301,"OMOP Acute Liver Failure 1",0,21003157,"Vascular Headache",1125315,"Acetaminophen","Target Any Indication->Comparator Any Indication"
"11",1396012,"ferrous gluconate",500000301,"OMOP Acute Liver Failure 1",0,21000803,"Iron Deficiency Anemia",941258,"Docusate","Target Primary Indication->Comparator Primary Indication"
"12",954853,"Flavoxate",500000301,"OMOP Acute Liver Failure 1",0,21003251,"Dysuria",933724,"Phenazopyridine","Target Primary Indication->Comparator Primary Indication"
"13",1149380,"fluticasone",500000301,"OMOP Acute Liver Failure 1",0,21001770,"Allergic Rhinitis",1154332,"Pseudoephedrine","Target Primary Indication->Comparator Primary Indication"
